"player_info","rank","bye","owner_2018","fantasy_pts_proj"
"Jared Goff / LAR / QB","9","9","C$","295"
"Drew Brees / NO / QB","10","9","C$","292"
"Julio Jones / Atl / WR","40","9","C$","212"
"Sony Michel / NE / RB","47","10","C$","203"
"Antonio Brown / Oak / WR","63","6","C$","179"
"Ka'imi Fairbairn / Hou / K","101","10","C$","141"
"Austin Ekeler / LAC / RB","136","12","C$","120"
"Vance McDonald / Pit / TE","138","7","C$","120"
"Marvin Jones Jr. / Det / WR","157","5","C$","115"
"Denver / Den / DEF","200","10","C$","97"
"Gus Edwards / Bal / RB","235","8","C$","81"
"Matt Breida / SF / RB","248","4","C$","75"
"Golden Tate / NYG / WR","253","11","C$","73"
"Spencer Ware / Ind / RB","420","6","C$","1"
"Aaron Rodgers / GB / QB","2","11","ChildPlease","317"
"Christian McCaffrey / Car / RB","31","7","ChildPlease","231"
"Jordan Howard / Phi / RB","59","10","ChildPlease","188"
"Amari Cooper / Dal / WR","69","8","ChildPlease","169"
"Julian Edelman / NE / WR","92","10","ChildPlease","144"
"Wil Lutz / NO / K","96","9","ChildPlease","142"
"Sterling Shepard / NYG / WR","100","11","ChildPlease","141"
"Devin Funchess / Ind / WR","142","6","ChildPlease","119"
"Marquise Goodwin / SF / WR","181","4","ChildPlease","104"
"Houston / Hou / DEF","183","10","ChildPlease","104"
"Austin Hooper / Atl / TE","220","9","ChildPlease","88"
"Randall Cobb / Dal / WR","267","8","ChildPlease","67"
"Doug Martin / Oak / RB","415","6","ChildPlease","4"
"Andrew Luck / Ind / QB","4","6","Grey Nut Grabbers","307"
"James Conner / Pit / RB","27","7","Grey Nut Grabbers","237"
"Dalvin Cook / Min / RB","35","12","Grey Nut Grabbers","225"
"Joe Mixon / Cin / RB","41","9","Grey Nut Grabbers","212"
"Michael Thomas / NO / WR","53","9","Grey Nut Grabbers","196"
"Zach Ertz / Phi / TE","77","10","Grey Nut Grabbers","160"
"Corey Davis / Ten / WR","85","11","Grey Nut Grabbers","148"
"Jarvis Landry / Cle / WR","87","7","Grey Nut Grabbers","147"
"Tevin Coleman / SF / RB","88","4","Grey Nut Grabbers","146"
"Stephen Gostkowski / NE / K","91","10","Grey Nut Grabbers","144"
"Chris Godwin / TB / WR","120","7","Grey Nut Grabbers","129"
"Minnesota / Min / DEF","166","12","Grey Nut Grabbers","110"
"Kareem Hunt / Cle / RB","260","7","Grey Nut Grabbers","70"
"Jeff Wilson Jr. / SF / RB","410","4","Grey Nut Grabbers","7"
"Russell Wilson / Sea / QB","5","11","He Hate Me","304"
"Ezekiel Elliott / Dal / RB","15","8","He Hate Me","275"
"Melvin Gordon III / LAC / RB","26","12","He Hate Me","240"
"Davante Adams / GB / WR","42","11","He Hate Me","207"
"Damien Williams / KC / RB","45","12","He Hate Me","204"
"Derrick Henry / Ten / RB","51","11","He Hate Me","200"
"Kerryon Johnson / Det / RB","55","5","He Hate Me","192"
"Adam Thielen / Min / WR","61","12","He Hate Me","182"
"Greg Zuerlein / LAR / K","66","9","He Hate Me","171"
"Kenny Golladay / Det / WR","83","5","He Hate Me","148"
"New England / NE / DEF","129","10","He Hate Me","126"
"Jaylen Samuels / Pit / RB","146","7","He Hate Me","118"
"Josh Gordon / NE / WR","218","10","He Hate Me","89"
"Jamaal Williams / GB / RB","227","11","He Hate Me","85"
"Ben Roethlisberger / Pit / QB","16","7","Hoboken SquatCobbler","275"
"Aaron Jones / GB / RB","38","11","Hoboken SquatCobbler","218"
"Kenyan Drake / Mia / RB","58","5","Hoboken SquatCobbler","189"
"Mark Ingram II / Bal / RB","65","8","Hoboken SquatCobbler","172"
"Keenan Allen / LAC / WR","70","12","Hoboken SquatCobbler","168"
"Brandin Cooks / LAR / WR","72","9","Hoboken SquatCobbler","162"
"Lamar Miller / Hou / RB","79","10","Hoboken SquatCobbler","154"
"A.J. Green / Cin / WR","106","9","Hoboken SquatCobbler","135"
"Cooper Kupp / LAR / WR","108","9","Hoboken SquatCobbler","133"
"Robbie Gould / SF / K","111","4","Hoboken SquatCobbler","133"
"Tyler Lockett / Sea / WR","130","11","Hoboken SquatCobbler","128"
"Detroit / Det / DEF","217","5","Hoboken SquatCobbler","89"
"Eric Ebron / Ind / TE","225","6","Hoboken SquatCobbler","86"
"Alex Collins / Bal / RB","482","8","Hoboken SquatCobbler","0"
"Saquon Barkley / NYG / RB","3","11","mouse rat","307"
"Carson Wentz / Phi / QB","11","10","mouse rat","282"
"Philip Rivers / LAC / QB","21","12","mouse rat","259"
"T.Y. Hilton / Ind / WR","62","6","mouse rat","180"
"Tarik Cohen / Chi / RB","74","6","mouse rat","162"
"George Kittle / SF / TE","76","4","mouse rat","160"
"Alshon Jeffery / Phi / WR","97","10","mouse rat","142"
"Derrius Guice / Was / RB","98","10","mouse rat","142"
"Calvin Ridley / Atl / WR","104","9","mouse rat","138"
"Chicago / Chi / DEF","105","6","mouse rat","138"
"Chris Boswell / Pit / K","117","7","mouse rat","130"
"LeSean McCoy / Buf / RB","143","6","mouse rat","118"
"Courtland Sutton / Den / WR","179","10","mouse rat","105"
"Jimmy Graham / GB / TE","205","11","mouse rat","93"
"Mitchell Trubisky / Chi / QB","12","6","teddy bear suicide","280"
"Matt Ryan / Atl / QB","13","9","teddy bear suicide","279"
"Josh Allen / Buf / QB","24","6","teddy bear suicide","247"
"Nick Chubb / Cle / RB","33","7","teddy bear suicide","229"
"JuJu Smith-Schuster / Pit / WR","46","7","teddy bear suicide","203"
"Leonard Fournette / Jax / RB","52","10","teddy bear suicide","199"
"Mike Evans / TB / WR","56","7","teddy bear suicide","192"
"Travis Kelce / KC / TE","57","12","teddy bear suicide","190"
"D.J. Moore / Car / WR","82","7","teddy bear suicide","149"
"James White / NE / RB","84","10","teddy bear suicide","148"
"Harrison Butker / KC / K","86","12","teddy bear suicide","148"
"Los Angeles / LAR / DEF","123","9","teddy bear suicide","128"
"Dante Pettis / SF / WR","153","4","teddy bear suicide","116"
"Larry Fitzgerald / Ari / WR","199","12","teddy bear suicide","91"
"Deshaun Watson / Hou / QB","7","10","The White Walkers","302"
"Todd Gurley II / LAR / RB","25","9","The White Walkers","240"
"DeAndre Hopkins / Hou / WR","44","10","The White Walkers","206"
"Mike Williams / LAC / WR","71","12","The White Walkers","166"
"Stefon Diggs / Min / WR","73","12","The White Walkers","162"
"Justin Tucker / Bal / K","80","8","The White Walkers","150"
"Peyton Barber / TB / RB","127","7","The White Walkers","127"
"Mohamed Sanu / Atl / WR","147","9","The White Walkers","117"
"Jacksonville / Jax / DEF","185","10","The White Walkers","101"
"Kyle Rudolph / Min / TE","193","12","The White Walkers","99"
"Adrian Peterson / Was / RB","207","10","The White Walkers","93"
"Demaryius Thomas / NE / WR","229","10","The White Walkers","84"
"Cincinnati / Cin / DEF","238","9","The White Walkers","79"
"Cole Beasley / Buf / WR","292","6","The White Walkers","55"
"Patrick Mahomes / KC / QB","1","12","TheFlawlessVictories","386"
"Cam Newton / Car / QB","8","7","TheFlawlessVictories","298"
"Alvin Kamara / NO / RB","19","9","TheFlawlessVictories","265"
"David Johnson / Ari / RB","36","12","TheFlawlessVictories","225"
"Odell Beckham Jr. / Cle / WR","48","7","TheFlawlessVictories","202"
"Tyreek Hill / KC / WR","50","12","TheFlawlessVictories","201"
"Robert Woods / LAR / WR","67","9","TheFlawlessVictories","171"
"Robby Anderson / NYJ / WR","90","4","TheFlawlessVictories","145"
"Tyler Boyd / Cin / WR","95","9","TheFlawlessVictories","142"
"Adam Vinatieri / Ind / K","103","6","TheFlawlessVictories","138"
"Baltimore / Bal / DEF","137","8","TheFlawlessVictories","120"
"David Njoku / Cle / TE","148","7","TheFlawlessVictories","117"
"Jared Cook / NO / TE","154","9","TheFlawlessVictories","116"
"Tennessee / Ten / DEF","203","11","TheFlawlessVictories","95"
"Baker Mayfield / Cle / QB","6","7","WU NAME PENDING","303"
"Tom Brady / NE / QB","23","10","WU NAME PENDING","252"
"Le'Veon Bell / NYJ / RB","30","4","WU NAME PENDING","232"
"Marlon Mack / Ind / RB","43","6","WU NAME PENDING","206"
"Phillip Lindsay / Den / RB","54","10","WU NAME PENDING","192"
"Devonta Freeman / Atl / RB","60","9","WU NAME PENDING","186"
"Allen Robinson II / Chi / WR","126","6","WU NAME PENDING","127"
"Chris Carson / Sea / RB","145","11","WU NAME PENDING","118"
"Evan Engram / NYG / TE","149","11","WU NAME PENDING","117"
"Indianapolis / Ind / DEF","169","6","WU NAME PENDING","108"
"Kenny Stills / Mia / WR","182","5","WU NAME PENDING","104"
"Robert Foster / Buf / WR","188","6","WU NAME PENDING","100"
"Cody Parkey / Chi / K","1188","6","WU NAME PENDING","0"
